id, latitude, longitude
345,47.36490602,8.556031013
346,47.36529608,8.556841007
347,47.37479752,8.583360819
348,47.37409746,8.585920806
349,47.37525761,8.586640798
350,47.37705782,8.583920808
351,47.37853793,8.576550847
352,47.3606458,8.594290802
353,47.37012659,8.548861042
354,47.37588727,8.547091037
355,47.39645058,8.603890614
356,47.39636058,8.60473061
357,47.39845089,8.60649059
358,47.3764173,8.543801056
359,47.37676734,8.544201052
360,47.37845757,8.545601038
361,47.3770074,8.546581036
362,47.37730746,8.548501023
363,47.37706738,8.544241051
364,47.37919765,8.54494104
365,47.37307677,8.532971134
366,47.3736068,8.530631148
367,47.38138737,8.503341308
368,47.37341679,8.531671142
369,47.37730731,8.535641105
370,47.37807741,8.536631097
371,47.37453694,8.532381134
372,47.3761971,8.529751147
373,47.37479691,8.527631164
374,47.37340676,8.529081158
375,47.37260667,8.529381159
376,47.37306675,8.531451144
377,47.37759718,8.522401191
378,47.37793721,8.521431196
379,47.37861726,8.519591207
380,47.3790373,8.518421213
381,47.37981736,8.515931228
382,47.37804706,8.509011278
383,47.37812691,8.497351357
384,47.38933776,8.46923153
385,47.39045786,8.467591539
386,47.40914215,8.594400618
387,47.40915215,8.594620616
388,47.40915216,8.595380612
389,47.40910217,8.596400605
390,47.40912218,8.596890602
391,47.40952228,8.599910582
392,47.42279366,8.576330673
393,47.41266262,8.594480602
394,47.41243258,8.593870606
395,47.41426269,8.585430652
396,47.41484271,8.582120671
397,47.41474275,8.585230651
398,47.41293262,8.592000616
399,47.37156685,8.556800989
400,47.37004673,8.564150949
401,47.37244702,8.563410946
402,47.37271706,8.563290946
403,47.37349713,8.561520954
404,47.37532735,8.560350956
405,47.36190569,8.560280996
406,47.3619857,8.560450995
407,47.36302586,8.563250975
408,47.36349593,8.564670965
409,47.36152569,8.565290967
410,47.36085558,8.561870989
411,47.36032554,8.56539097
412,47.36027555,8.567010961
413,47.36028556,8.567920955
414,47.35835534,8.571340941
415,47.35384482,8.575780928
416,47.35306473,8.577310921
417,47.3508845,8.583720891
418,47.36276587,8.568000948
419,47.363916,8.566850951
420,47.36099567,8.571440932
421,47.36095567,8.571630931
422,47.36373604,8.574780905
423,47.36037544,8.552191049
424,47.35951538,8.557791017
425,47.36357585,8.554741025
426,47.36435594,8.554381025
427,47.36414591,8.554031027
428,47.36148561,8.556351021
429,47.35510487,8.561521007
430,47.35506487,8.562731
431,47.3517645,8.566520987
432,47.35144447,8.568480976
433,47.35428486,8.573610939
434,47.35490494,8.574780931
435,47.36848637,8.547301057
436,47.37053664,8.549231039
437,47.37187682,8.550551027
438,47.37804755,8.548101024
439,47.37998778,8.548181017
440,47.38204804,8.548191011
441,47.39030902,8.545701
442,47.36858635,8.543721079
443,47.36835636,8.547321057
444,47.36762627,8.548041054
445,47.36667614,8.545741071
446,47.36714629,8.555951007
447,47.36631617,8.553081027
448,47.36615614,8.55264103
449,47.38494817,8.531191112
450,47.39074874,8.522211155
451,47.38431811,8.532061108
452,47.38342801,8.533261103
453,47.38244791,8.534571097
454,47.38145781,8.535911092
455,47.38022769,8.537841083
456,47.3843481,8.531301113
457,47.38447812,8.531991108
458,47.37692741,8.548671024
459,47.37758752,8.55054101
460,47.37996779,8.548651014
461,47.37809759,8.551201004
462,47.37919767,8.547061027
463,47.38173796,8.545241031
464,47.37783755,8.551051006
465,47.37649734,8.546811037
466,47.37714743,8.547321031
467,47.37148668,8.541961082
468,47.37155669,8.542441078
469,47.37176672,8.542821075
470,47.37160669,8.541981081
471,47.37145667,8.541591084
472,47.37021652,8.54110109
473,47.3701265,8.540341096
474,47.36950641,8.539411103
475,47.36750618,8.540151104
476,47.36576611,8.553891024
477,47.36523604,8.553301029
478,47.36090552,8.554951031
479,47.36184557,8.547651072
480,47.40419101,8.562350843
481,47.35228424,8.525371233
482,47.35316434,8.524511236
483,47.35742481,8.521921243
484,47.35761483,8.521531245
485,47.35449439,8.512861307
486,47.35402433,8.512561309
487,47.35341425,8.511791316
488,47.35906495,8.516401274
489,47.35930497,8.516441274
490,47.3627554,8.519081249
491,47.36304542,8.518181254
492,47.36310543,8.517931256
493,47.36613576,8.515871262
494,47.36729589,8.515221263
495,47.37012618,8.511921278
496,47.36990613,8.51029129
497,47.37701681,8.499371346
498,47.35507444,8.510941318
499,47.35703465,8.509651322
500,47.36435541,8.502881351
